,0
2770,85
2771,73
2772,35
2773,73
2774,161
2775,73
2776,92
2777,73
2778,14
2779,73
2780,18
2781,73
2782,32
2783,73
2784,32
2785,73
2786,73
2787,73
2788,111
2789,73
2790,371
2791,72
2792,17
2793,72
2794,208
2795,72
2796,100
2797,72
2798,1872
2799,72
2800,22
2801,72
2802,39
2803,72
2804,184
2805,72
2806,149
2807,72
2808,41
2809,72
2810,100
2811,72
2812,21
2813,72
2814,43
2815,72
2816,869
2817,71
2818,661
2819,71
2820,161
2821,71
2822,50
2823,71
2824,14
2825,71
2826,100
2827,71
2828,405
2829,71
2830,362
2831,71
2832,89
2833,71
2834,559
2835,71
2836,12
2837,71
2838,123
2839,71
2840,34
2841,71
2842,100
2843,70
2844,276
2845,70
2846,927
2847,70
2848,59
2849,70
2850,741
2851,70
2852,237
2853,70
2854,75
2855,70
2856,307
2857,70
2858,127
2859,70
2860,300
2861,70
2862,146
2863,70
2864,831
2865,70
2866,21
2867,70
2868,9
2869,70
2870,81
2871,70
2872,130
2873,70
2874,14
2875,70
2876,524
2877,70
2878,34
2879,70
2880,34
2881,70
2882,1951
2883,69
2884,275
2885,69
2886,534
2887,69
2888,97
2889,69
2890,201
2891,69
2892,75
2893,69
2894,27
2895,69
2896,59
2897,69
2898,33
2899,69
2900,519
2901,69
2902,26
2903,69
2904,101
2905,69
2906,348
2907,69
2908,66
2909,69
2910,89
2911,69
2912,46
2913,69
2914,28
2915,69
2916,36
2917,69
2918,33
2919,69
2920,123
2921,69
2922,292
2923,69
2924,114
2925,69
2926,38
2927,68
2928,781
2929,68
2930,186
2931,68
2932,37
2933,68
2934,75
2935,68
2936,21
2937,68
2938,86
2939,68
2940,50
2941,68
2942,26
2943,68
2944,47
2945,68
2946,633
